timestamp,farm_id,animal_type,total_animals,sick_animals,deceased_animals,avg_temperature,activity_level,feed_intake_percent,water_intake_percent,location_lat,location_lon,activity_level_normalized
2026-08-22,FARM-0001,sheep,259,5,2,39.27,7.06,91.74,87.25,-17.749,26.1262,0.10634808549441745
2026-08-22,FARM-0002,swine,417,2,0,39.0,7.09,95.23,90.3,-18.0557,23.1934,0.16015904008203652
2026-08-22,FARM-0003,poultry,86,0,0,38.2,6.84,89.69,78.84,-7.1533,27.6263,-0.28826558148145204
2026-08-22,FARM-0004,cattle,389,7,1,38.2,7.37,93.64,88.54,3.4331,30.8401,0.6623946162331442
2026-08-22,FARM-0005,cattle,73,0,0,37.83,7.33,90.13,85.6,-25.8985,36.7461,0.590646676782986
2026-08-22,FARM-0006,sheep,302,6,2,39.78,6.47,93.77,80.25,0.0133,28.4814,-0.9519340213954154
2026-08-22,FARM-0007,cattle,230,2,0,40.04,6.79,85.54,81.75,-28.8807,23.6479,-0.37795050579414946
2026-08-22,FARM-0008,poultry,329,7,3,38.12,6.71,87.68,77.4,-22.4009,25.6136,-0.5214463846944659
2026-08-22,FARM-0009,poultry,170,5,1,37.99,6.94,88.18,80.59,4.3032,21.7672,-0.10889573285605567
2026-08-22,FARM-0010,goat,364,7,2,37.99,7.48,95.15,83.53,-14.2109,42.8537,0.8597014497210798
2026-08-23,FARM-0001,sheep,395,1,0,38.26,6.51,96.68,82.4,-28.7697,31.258,-0.8801860819452572
2026-08-23,FARM-0002,sheep,159,6,1,38.15,7.54,88.57,80.83,-9.5258,39.179,0.9673233588963163
2026-08-23,FARM-0003,goat,119,3,0,38.05,7.51,88.75,82.19,-11.1858,43.8699,0.9135124043086972
2026-08-23,FARM-0004,goat,412,4,1,38.8,6.82,93.94,72.09,3.259,40.6904,-0.3241395512065304
2026-08-23,FARM-0005,sheep,425,11,3,39.44,6.79,83.67,81.81,-10.31,23.2784,-0.37795050579414946
2026-08-23,FARM-0006,poultry,490,8,2,38.56,6.46,89.07,87.86,-25.5961,35.4578,-0.9698710062579545
2026-08-23,FARM-0007,swine,333,10,3,39.28,6.79,82.08,82.13,-17.4222,40.7744,-0.37795050579414946
2026-08-23,FARM-0008,sheep,212,5,1,37.65,7.56,85.53,83.33,-25.1874,27.1002,1.0031973286213947
2026-08-23,FARM-0009,sheep,228,10,3,38.09,6.74,85.62,77.66,-5.2654,34.5694,-0.4676354301068469
2026-08-23,FARM-0010,sheep,152,1,0,38.47,7.76,91.83,91.88,4.0001,37.8467,1.361937025872186
2026-08-24,FARM-0001,sheep,210,0,0,37.9,8.55,92.02,84.09,-13.7286,37.7768,2.778958830012811
2026-08-24,FARM-0002,sheep,392,8,1,37.81,6.87,85.89,84.35,-22.6348,35.4479,-0.23445462689383298
