farm_id,date,tag_id,animal_type,total_animals,sick_animals,deceased_animals,avg_temperature,feed_intake_percent,water_intake_percent,activity_level,location_lat,location_lon,activity_level_normalized
FARM-0001,2026-08-22,FARM-0001-SWI-HERD,swine,480,7,0,38.04,93.76,91.84,6.88,-15.9029,35.334,-0.09461941900214438
FARM-0002,2026-08-22,FARM-0002-SHE-HERD,sheep,350,5,0,38.84,94.8,86.35,6.88,1.098,20.5879,-0.09461941900214438
FARM-0003,2026-08-22,FARM-0003-SHE-HERD,sheep,151,3,0,38.31,91.77,87.71,7.72,-26.7838,44.0912,1.0498537049968992
FARM-0004,2026-08-22,FARM-0004-SWI-HERD,swine,140,3,1,38.56,85.92,82.65,6.67,1.76,36.9282,-0.3807377000019053
FARM-0005,2026-08-22,FARM-0005-POU-HERD,poultry,237,5,1,38.84,91.19,90.27,6.63,-13.2128,43.3224,-0.435236420192336
FARM-0006,2026-08-22,FARM-0006-SHE-HERD,sheep,477,6,2,38.41,94.04,88.58,6.78,-26.7608,33.815,-0.23086621947822056
FARM-0007,2026-08-22,FARM-0007-SHE-HERD,sheep,163,1,0,38.42,84.6,82.07,6.83,-5.5668,32.434,-0.16274281924018247
FARM-0008,2026-08-22,FARM-0008-SHE-HERD,sheep,193,2,0,38.53,100.17,80.56,6.14,1.6117,25.6326,-1.102845742525112
FARM-0009,2026-08-22,FARM-0009-GOA-HERD,goat,177,0,0,38.7,88.93,89.43,7.38,-6.3176,41.8971,0.5866145833782389
FARM-0010,2026-08-22,FARM-0010-SWI-HERD,swine,443,10,3,38.65,78.02,88.82,7.0,4.042,28.9225,0.06887674156914775
FARM-0001,2026-08-23,FARM-0001-GOA-HERD,goat,85,1,0,37.94,97.42,87.24,6.91,-9.1635,23.3913,-0.05374537885932104
FARM-0002,2026-08-23,FARM-0002-POU-HERD,poultry,242,5,1,38.26,99.15,82.26,6.59,-14.2073,29.6251,-0.4897351403827667
FARM-0003,2026-08-23,FARM-0003-SWI-HERD,swine,281,4,0,38.51,93.04,77.92,6.93,-4.8476,44.0818,-0.026496018764106292
FARM-0004,2026-08-23,FARM-0004-SHE-HERD,sheep,171,5,1,39.08,88.33,90.67,6.5,-25.8768,34.6387,-0.6123572608112355
FARM-0005,2026-08-23,FARM-0005-SHE-HERD,sheep,195,6,2,38.01,94.22,84.47,6.49,-25.4127,36.5659,-0.6259819408588428
FARM-0006,2026-08-23,FARM-0006-SWI-HERD,swine,155,1,0,38.54,89.42,89.57,6.71,-29.3469,23.7976,-0.3262389798114746
FARM-0007,2026-08-23,FARM-0007-SHE-HERD,sheep,272,3,0,37.64,90.89,88.26,6.35,-19.53,40.8703,-0.816727461525351
FARM-0008,2026-08-23,FARM-0008-POU-HERD,poultry,238,6,1,38.18,77.97,83.77,6.63,-6.8312,35.673,-0.435236420192336
FARM-0009,2026-08-23,FARM-0009-GOA-HERD,goat,403,0,0,38.46,80.59,76.43,7.31,-2.591,40.4647,0.49124182304498487
FARM-0010,2026-08-23,FARM-0010-GOA-HERD,goat,398,8,2,38.1,94.09,86.95,6.99,-24.725,44.6917,0.05525206152154038
FARM-0001,2026-08-24,FARM-0001-SWI-HERD,swine,140,4,0,38.83,88.78,89.38,7.65,-8.0592,33.3014,0.9544809446636465
FARM-0002,2026-08-24,FARM-0002-CAT-HERD,cattle,96,1,0,38.06,85.94,84.73,6.55,1.8384,43.9668,-0.5442338605731974
FARM-0003,2026-08-24,FARM-0003-GOA-HERD,goat,462,7,0,38.47,96.23,78.63,7.18,-26.7711,41.1507,0.3141209824260853
FARM-0004,2026-08-24,FARM-0004-GOA-HERD,goat,427,12,2,38.7,81.09,88.01,7.68,-22.0812,22.2284,0.9953549848064687
FARM-0005,2026-08-24,FARM-0005-POU-HERD,poultry,90,2,0,38.5,91.8,89.04,6.5,4.4177,24.4807,-0.6123572608112355
FARM-0006,2026-08-24,FARM-0006-SWI-HERD,swine,137,3,0,38.64,94.2,83.24,6.19,-29.2808,36.641,-1.0347223422870726
FARM-0007,2026-08-24,FARM-0007-SHE-HERD,sheep,114,1,0,39.33,96.79,91.43,7.91,-21.7116,22.2493,1.3087226259014455
FARM-0008,2026-08-24,FARM-0008-SHE-HERD,sheep,201,3,0,38.56,85.82,87.79,6.67,-18.4356,22.2962,-0.3807377000019053
FARM-0009,2026-08-24,FARM-0009-SHE-HERD,sheep,94,1,0,38.68,92.7,79.86,8.03,-25.0376,26.9713,1.4722187864727365
FARM-0010,2026-08-24,FARM-0010-GOA-HERD,goat,388,8,1,38.86,86.07,84.76,8.13,-0.087,39.3058,1.608465586948815
FARM-0001,2026-08-25,FARM-0001-SHE-HERD,sheep,357,10,3,37.92,90.18,80.47,7.76,-29.5796,22.8603,1.10435242518733
FARM-0002,2026-08-25,FARM-0002-POU-HERD,poultry,184,1,0,38.48,95.45,84.64,7.12,-17.6234,40.9528,0.23237290214043987
FARM-0003,2026-08-25,FARM-0003-GOA-HERD,goat,290,7,1,38.29,95.93,92.27,6.81,-3.1519,31.1887,-0.18999217933539841
FARM-0004,2026-08-25,FARM-0004-SHE-HERD,sheep,121,2,0,37.96,80.94,79.22,5.93,-15.0466,44.6228,-1.3889640235248728
FARM-0005,2026-08-25,FARM-0005-SWI-HERD,swine,439,0,0,38.56,83.57,87.13,6.51,-14.6746,42.3484,-0.5987325807636281
FARM-0006,2026-08-25,FARM-0006-SWI-HERD,swine,471,6,1,38.59,92.67,83.98,7.39,-29.718,22.3763,0.6002392634258462
FARM-0007,2026-08-25,FARM-0007-CAT-HERD,cattle,373,7,3,43.029684366912285,96.88,81.6,7.91,-14.007,26.2687,1.3087226259014455
FARM-0008,2026-08-25,FARM-0008-SWI-HERD,swine,145,1,0,38.21,89.08,83.46,6.84,0.12,31.1943,-0.14911813919257508
FARM-0009,2026-08-25,FARM-0009-CAT-HERD,cattle,181,3,1,38.59,86.5,96.2,7.24,-0.6475,39.5073,0.395869062711732
FARM-0010,2026-08-25,FARM-0010-CAT-HERD,cattle,312,7,2,38.72,93.55,92.38,6.76,-11.9359,37.7007,-0.2581155795734365
FARM-0001,2026-08-26,FARM-0001-SWI-HERD,swine,306,7,2,37.16,90.72,78.98,6.98,-9.3394,36.706,0.041627381473933
FARM-0002,2026-08-26,FARM-0002-GOA-HERD,goat,322,76,0,38.26,97.04,88.23,6.53,-25.3209,24.1987,-0.5714832206684122
FARM-0003,2026-08-26,FARM-0003-SWI-HERD,swine,414,13,4,38.31,85.11,89.84,6.45,-23.948,20.1131,-0.6804806610492736
FARM-0004,2026-08-26,FARM-0004-POU-HERD,poultry,480,9,2,38.8,90.65,79.9,6.63,-14.4628,36.9179,-0.435236420192336
FARM-0005,2026-08-26,FARM-0005-CAT-HERD,cattle,295,5,1,38.37,92.42,89.55,6.13,-12.7509,37.3969,-1.1164704225727193
FARM-0006,2026-08-26,FARM-0006-GOA-HERD,goat,388,12,2,37.56,90.77,89.06,7.43,-13.7986,23.6905,0.654737983616277
FARM-0007,2026-08-26,FARM-0007-CAT-HERD,cattle,442,5,1,38.96,88.63,83.61,8.18,-2.8902,25.9243,1.6765889871868518
